user_id,recommended_items
285,2348573 479344 1717731 266412 1086695
902,2047542 2487208 266412 915508 2579533
948,2579533 2775160 1550605 2047542 1706622
1183,2487208 915508 479344 2348573 2750191
1286,1895272 1717731 2047542 931519 2795800
1509,266412 2348573 479344 1717731 365608
1776,1550605 2775160 1244196 1895272 365608
1982,2348573 915508 1244196 2750191 365608
2742,1706622 1086695 931519 1201171 2795800
3161,365608 2348573 1895272 2579533 1717731
3256,479344 2047542 1706622 1086695 2348573
3375,1201171 1086695 1706622 365608 2795800
3547,2348573 1201171 2775160 2795800 1717731
3630,2579533 2750191 479344 1550605 365608
3806,1550605 365608 1895272 479344 2750191
4607,2487208 2348573 365608 1244196 1086695
5112,479344 931519 1086695 1706622 1550605
5627,2750191 1895272 2348573 365608 2579533
5686,2348573 2795800 1201171 266412 1706622
5738,365608 2775160 931519 1086695 479344
5839,479344 365608 1086695 1550605 266412
6442,2047542 1550605 2348573 1717731 2775160
7182,2148901 1086695 365608 1550605 479344
7693,1717731 1706622 931519 1086695 2795800
8316,2750191 2348573 931519 2148901 1244196
9660,2487208 1201171 931519 1706622 266412
9680,1244196 2579533 2348573 1717731 2047542
10044,2348573 2775160 1550605 1706622 266412
10316,2795800 1717731 1201171 2348573 1086695
10469,266412 2348573 2775160 2579533 2148901
10470,1706622 915508 2750191 1201171 2047542
10870,1717731 2579533 479344 1086695 2487208
10956,365608 1706622 1201171 2148901 1717731
11027,1706622 1717731 2487208 2348573 1201171
11380,2795800 1895272 2579533 2348573 1550605
11423,365608 1550605 1895272 2348573 1706622
11805,2750191 2348573 1244196 1717731 2047542
12046,2795800 266412 1717731 2148901 1706622
12097,2750191 2795800 2148901 1717731 1244196
12233,915508 1717731 2047542 1086695 1244196
12593,1895272 266412 2795800 915508 2579533
12626,1895272 931519 2487208 2047542 2148901
12630,365608 2795800 1550605 479344 2750191
12671,2775160 2487208 2348573 931519 1244196
12689,365608 915508 2348573 2487208 2148901
12750,1086695 1244196 1706622 1550605 1201171
12852,1717731 2148901 2795800 2487208 1201171
13715,1086695 365608 2047542 1201171 1706622
14269,2047542 2579533 915508 1550605 1201171
14624,1550605 1244196 2348573 2148901 931519
14792,1717731 2795800 2047542 2579533 2775160
14966,2148901 2047542 1244196 2775160 365608
15006,1717731 931519 2775160 1201171 2148901
15100,931519 2750191 365608 2047542 2148901
15549,931519 2795800 1086695 915508 479344
15611,1706622 915508 1895272 365608 2487208
