user_id	jobroles	career_level	discipline_id	industry_id	country	region	experience_n_entries_class	experience_years_experience	experience_years_in_current	edu_degree	edu_fieldofstudies
118777	2705438,2004502	3	0	0	ch	0	3	4	2	1	4
2613732	1179799,3081292,2501578	0	0	15	de	0	1	0	0	0	
1685992	0	NULL	0	0	de	10	3	4	0	1	3
332162	0	NULL	0	0	de	9	1	0	0	3	7
1583325	0	NULL	0	0	de	7	1	0	0	0	8,2
2433425	653075	0	0	0	de	0	1	0	0	2	8
2186409	2938714,1697930,2978502,420011	4	0	0	de	0	3	5	4	2	8,2
2538158	2682049	4	13	1	de	1	3	6	1	0	3
250758	0	NULL	0	0	de	1	2	4	3	1	8,7
859377	3720944	0	0	13	de	3	1	5	3	0	3
2092487	2978502,901174	4	3	1	at	0	3	7	2	0	
288497	524518	3	0	7	ch	0	3	7	4	0	
2026461	0	NULL	0	0	de	7	2	4	0	0	3
367320	1768488,3287640,2573697	0	0	21	de	2	3	5	2	1	8
1432934	0	NULL	0	0	de	1	3	4	0	1	8
2372268	1438550	5	0	0	de	0	3	7	3	0	
2284278	1072848	3	3	19	de	1	3	6	3	0	
645481	0	NULL	0	0	at	0	1	0	0	1	8,2
80633	1319614	0	0	8	de	2	1	0	0	0	
2255540	1581843,1637063	4	12	16	de	10	3	6	1	2	8,5
160108	1549791,3522911	4	19	12	de	2	3	5	2	0	
2400139	3241763,3759252,4490078,500718	3	0	0	de	0	2	4	2	0	8,2
1892425	4490078	0	0	0	de	0	1	4	2	2	2
2384328	606990,991642	0	0	0	de	0	3	5	3	0	
1254093	4490078	3	0	19	de	10	2	7	4	0	
1358077	524518,4552398	6	19	15	de	2	3	7	2	0	8
2176120	3482421,22459	0	0	0	de	0	3	5	2	1	4
2463576	4020231,1284889	3	0	2	de	9	1	0	0	0	
1165756	4408755	2	0	0	de	0	3	7	3	2	1,6
204192	2978502	0	0	8	de	3	3	7	1	0	
2432653	4408755	0	0	0	de	0	1	4	3	2	5
520255	2250095,3792911	3	0	0	de	0	3	7	1	0	3
872614	0	NULL	0	0	de	2	3	6	0	0	5
285083	4254729	4	0	0	de	0	1	3	2	0	
1117111	3748334,726713	NULL	0	0	de	6	3	5	5	1	8
2548478	2978502	4	0	0	de	0	2	0	0	1	8
1029411	0	NULL	0	0	de	10	3	4	0	2	6,5,3
2658616	744101	0	0	8	de	9	1	0	0	0	
1394690	4544606	0	0	22	de	6	1	3	1	0	8
2674883	4362804	2	0	15	de	6	1	3	1	0	
694095	3731273,137487	0	0	1	de	1	1	0	0	1	3
222713	2458580	3	0	0	de	0	3	4	1	2	8
145262	0	NULL	0	0	at	0	NULL	NULL	NULL	0	
2829933	1549791	0	0	19	de	9	2	4	1	0	8
1709726	3370475	0	0	1	de	9	1	7	6	2	
2129147	3731273	NULL	0	0	de	8	3	5	2	2	
686738	76751	2	2	14	de	2	2	4	3	2	5
1418767	4284901	0	0	18	at	0	3	4	1	2	8
2806934	1072229	0	0	1	de	1	1	3	3	0	3
2251053	1777526,616841,3145630	4	11	8	de	1	3	4	1	2	8
1177964	4432807,2210017	0	0	11	de	2	1	2	2	0	
557063	3170691,502342	0	0	16	de	10	1	4	2	2	6
2641598	634110,4245803	3	0	0	de	0	3	7	3	0	
682892	3729575	0	0	7	de	7	3	5	1	1	8
2414866	1869807	3	18	10	de	9	2	5	3	3	5
2934779	0	NULL	0	0	de	7	2	6	0	2	5
702618	3201469,4321623,2314529	4	0	0	de	0	3	5	2	0	
1258920	2573697,2652976,3667946	3	14	2	de	2	2	4	2	0	5
1825133	3500451	0	0	1	de	1	3	6	1	0	3
508740	2690571,1283916	0	0	14	de	7	3	4	1	1	8
1519285	45535	3	2	14	de	1	2	3	1	0	
265681	1254311	1	0	0	de	0	3	4	1	1	2,8
1565867	3473826	3	0	21	de	1	3	6	2	0	
256185	1253876	0	0	20	de	6	1	3	2	1	8,2
465432	45535	3	0	0	de	0	2	5	3	2	3
1351172	3553594,63258,315526	5	0	1	de	7	3	7	3	2	3
946464	2316982	0	0	14	at	0	1	0	0	0	
248212	745768	0	0	21	de	0	1	1	1	0	
289190	922440,3119985,494116,1880959	4	0	0	de	0	2	7	2	0	
1214104	135212,4284901,3482421	5	0	0	de	0	3	5	2	2	2
604174	3079492	NULL	0	0	de	13	3	4	1	1	7,2
684281	780010	3	14	21	de	9	3	5	2	0	5
1185382	0	NULL	0	0	de	2	3	4	0	0	7
1101903	1549791,315526,4169675,2501578	0	0	21	de	2	1	0	0	0	8
2444796	1893830	0	0	0	non_dach	0	3	4	2	2	
1058700	3478136,2710515	3	0	0	de	0	2	5	4	1	
2217148	2915824,3482421	6	0	21	de	2	1	7	7	0	
2230497	1119112	NULL	0	0	de	1	3	4	1	1	
2586679	3432139,2978502,1057568,4019493,4499767	4	0	0	de	0	3	5	4	1	
635185	1437162,1581843	4	3	21	de	7	3	7	2	0	8
306954	3907924	4	7	4	de	2	3	5	2	0	5
2232759	0	NULL	0	0	de	1	1	1	0	0	
1245396	1283916	0	0	0	de	0	2	4	3	3	
2801687	0	0	0	23	de	9	1	4	4	0	
507001	2285759	0	0	4	at	0	3	4	2	2	8,2
