user_id,recommended_items
285,2148901 1244196 479344 2750191 1895272
902,1895272 365608 915508 1244196 1550605
948,1201171 2795800 1717731 365608 2047542
1183,1895272 2775160 2750191 2348573 2047542
1286,365608 2148901 1201171 1895272 1244196
1509,1201171 1706622 2579533 1086695 1550605
1776,1550605 931519 1895272 2047542 266412
1982,1244196 1717731 2148901 2579533 931519
2742,266412 1717731 2348573 2579533 2047542
3161,1706622 2750191 2148901 2348573 266412
3256,2487208 2148901 931519 2775160 1086695
3375,1086695 2775160 266412 1244196 2047542
3547,2775160 2795800 931519 1717731 365608
3630,2795800 1201171 1895272 2775160 365608
3806,2775160 1706622 1895272 365608 2579533
4607,1550605 1244196 365608 1895272 2795800
5112,915508 479344 2487208 365608 2148901
5627,266412 931519 2047542 2148901 2750191
5686,2148901 1550605 1086695 915508 2487208
5738,479344 2487208 2148901 1895272 2047542
5839,2047542 931519 2775160 1086695 1717731
6442,2487208 1086695 1895272 1717731 2775160
7182,2579533 2775160 1895272 2047542 1086695
7693,2750191 1895272 1244196 1550605 2047542
8316,266412 2579533 2047542 1201171 1550605
9660,2750191 365608 479344 1550605 2775160
9680,2148901 1706622 2487208 1550605 1244196
10044,2579533 2148901 2750191 931519 1201171
10316,266412 931519 2348573 1201171 1550605
10469,2348573 2148901 1550605 2750191 1895272
10470,2795800 2047542 2579533 2348573 931519
10870,365608 1717731 1201171 1895272 2047542
10956,1706622 266412 915508 931519 2348573
11027,1244196 266412 2047542 479344 2775160
11380,2487208 1086695 1244196 479344 2047542
11423,2579533 931519 2487208 2750191 2775160
11805,2487208 1706622 1201171 2148901 2348573
12046,1086695 2750191 931519 915508 2579533
12097,931519 266412 1201171 1895272 2487208
12233,2148901 1706622 1717731 2750191 1201171
12593,266412 479344 1086695 1244196 2579533
12626,2795800 2775160 479344 1895272 1244196
12630,2750191 2047542 2348573 266412 2148901
12671,2487208 1201171 266412 2047542 1550605
12689,1244196 1201171 2047542 2750191 2795800
12750,365608 1244196 915508 1717731 2579533
12852,2487208 2795800 1895272 266412 2348573
13715,479344 2348573 2775160 915508 365608
14269,1895272 1706622 1086695 2750191 2775160
14624,1201171 915508 1895272 2047542 1086695
14792,1717731 266412 2775160 365608 2487208
14966,1717731 365608 2775160 2579533 1086695
15006,266412 2348573 1244196 479344 365608
15100,2579533 2047542 1244196 1895272 266412
15549,915508 2750191 1244196 2795800 1895272
15611,1550605 2750191 915508 2775160 1086695
16228,2750191 479344 2047542 1244196 2579533
16874,2775160 2148901 1550605 931519 1895272
16971,2348573 2775160 2579533 1895272 2795800
18097,2148901 2047542 931519 2487208 2348573
18564,915508 1201171 931519 2047542 479344
18796,2047542 2487208 915508 479344 931519
18994,2348573 1201171 2795800 2487208 1717731
19544,931519 2348573 1086695 266412 2775160
19679,1244196 915508 2750191 1201171 1717731
19704,365608 1550605 1244196 2148901 2579533
20101,365608 1086695 2579533 1244196 2750191
20679,1086695 2775160 931519 1895272 1717731
20815,2487208 2795800 2348573 915508 2148901
20979,2487208 1201171 1895272 1706622 915508
21195,1706622 266412 1244196 2750191 2775160
21324,2487208 1201171 2775160 2579533 2750191
21578,1086695 266412 365608 2047542 1706622
21627,2148901 1550605 931519 2348573 2487208
21663,2579533 931519 1717731 2775160 1086695
21813,931519 2750191 479344 2348573 2775160
21835,1550605 1201171 2047542 2795800 2348573
22107,1717731 1244196 1706622 2795800 1550605
22206,266412 1717731 1201171 365608 931519
22591,1086695 1550605 2795800 2775160 2750191
22728,1550605 2775160 2795800 2047542 1706622
23229,2348573 365608 2579533 915508 2487208
23361,365608 2148901 2047542 931519 1201171
23459,2047542 1706622 1550605 2348573 2775160
23667,2487208 365608 2047542 266412 1086695
23718,2579533 1244196 1086695 2795800 365608
24419,266412 1086695 2487208 1244196 479344
24465,479344 2487208 1717731 2775160 1550605
25906,479344 2795800 1706622 2579533 1244196
26038,1550605 1244196 2487208 1201171 2775160
26658,266412 2750191 2348573 1717731 1201171
