user_id,recommended_items
285,1728166 1726380 561002 2123252 1808563
902,1443706 1244196 2466095 1162250 657183
948,1053542 1244196 2466095 823512 2778525
1183,1096406 2117630 1664426 579292 2393265
1286,893621 689373 474635 1886887 1393670
1509,2086041 1376058 892333 2182715 1865831
1776,1757758 1277140 588206 1103447 623022
1982,2146288 12288 2029895 938102 775555
2742,1249534 452385 1302734 495939 1225808
3161,472040 723096 665194 967007 2371498
3256,1244196 657183 1092821 1069281 1047625
3375,2778525 1244196 2031981 42452 538069
3547,1125276 335923 1931311 2224354 2507468
3630,415358 2750191 2625619 1443706 447985
3806,1782499 592559 1432568 973448 2080276
4607,820148 797158 2299554 3044 2395300
5112,99767 39524 1691516 168889 294831
5627,374376 314274 345660 1937957 415358
5686,926828 2309898 475804 2138292 553187
5738,2778525 1244196 538069 823512 2310939
5839,1443706 657183 1069281 2313894 1165605
6442,1422652 315406 1751372 2458668 211719
7182,2014172 248636 1183228 2340784 2687682
7693,630710 329739 1721075 1498496 405751
8316,2476988 1982238 499178 2063265 79135
9660,2227201 1386412 2709027 478799 1717754
9680,2184058 624750 2272823 1310205 10811
10044,388367 2232786 1208433 2071024 1281528
10316,784737 2002097 830073 1386412 657183
10469,1756345 2547410 2641962 1739484 2739609
10470,353289 315341 2210368 986950 2155612
10870,400085 1061713 898727 468803 1473683
10956,2372201 192785 546579 493729 459732
11027,466173 1791528 1147424 688457 522016
11380,434421 1165605 2200859 2652417 228623
11423,2508585 2668387 2559545 273599 1593289
11805,1001431 178439 84155 1175235 1093296
12046,1446413 607052 526790 931565 1796876
12097,1092821 1386412 536047 343377 784737
12233,1633343 2645080 437007 819496 2485937
12593,1216431 1534045 702963 1001431 1619669
12626,1322673 386410 2580699 2521535 2118010
12630,1428284 2175840 637756 1823509 447985
12671,1646403 2568608 529889 524925 830631
12689,1105190 1098944 88029 1076185 269945
12750,1162250 657183 830073 2791339 2002097
12852,406835 1102260 932497 1287766 1972115
13715,16381 1911984 2626498 834906 189035
14269,1053542 823512 1244196 1241609 278589
14624,266412 2459081 468120 2420135 1953846
14792,1244196 468120 1576126 1069281 1679143
14966,1919608 1210470 1065643 2043444 504015
15006,723777 1499394 1794685 297118 2127017
15100,1299042 1562308 1192184 2803577 1607836
15549,784737 2002097 1386412 1053542 830073
15611,808771 507069 1695664 306921 1386412
16228,1907690 1292142 133433 1795163 1753782
16874,1928254 2588490 2183288 1244196 79531
16971,1328711 1308032 725769 194241 1854924
18097,1815493 1353323 2323802 2289895 445343
18564,1576126 1953846 1295570 468120 2490294
18796,2730930 385584 1551995 1014523 750033
18994,1834588 951204 132221 634598 265522
19544,2419733 914870 1919107 2279385 1803942
19679,153323 1775397 193627 2096789 445231
19704,2330317 499178 788342 956110 973448
20101,105999 1241563 1217373 1550605 536047
20679,2466095 554760 1244196 569889 1984327
20815,1407200 2348573 1074013 2770160 557005
20979,1029640 485102 1449761 1702541 2588067
21195,1477642 164623 1520277 77356 1567110
21324,2645314 1167500 938287 240873 2598896
21578,2562094 95698 111777 2730704 277785
21627,266817 2093033 1755502 2169564 2672526
21663,2617752 213472 2167880 57460 190325
21813,2024094 1434088 794156 2588490 592140
21835,468120 2420135 1953846 1069281 650831
22107,2251758 457843 986950 2348573 172858
22206,274885 1096094 1955247 2815878 2597023
22591,1834588 1880316 1328711 882380 1078888
22728,968410 1512340 2085803 1997340 2723495
23229,1908731 2373089 1421119 2532364 1427329
23361,1672383 2143484 2512859 715107 174892
23459,2313955 1391091 1897594 1565544 1354650
23667,410738 1812156 1430243 1819277 2594954
23718,1149693 172858 1443706 1808280 2257200
24419,2112907 2809931 1976990 426077 2607579
24465,2584486 882543 2002097 536047 734196
25906,406231 1673229 2018729 1092821 2466095
26038,1689895 2825431 81964 2546303 665666
26658,278589 47583 1595372 381044 2588490
27187,2348573 1776696 925751 457843 399435
27501,436974 2055851 2301756 130565 1888821
27638,771416 1878823 2222699 1930535 393952
27707,384116 1967011 194778 1472192 1211336
27727,79531 1140869 71285 2167880 2002097
27845,536047 784737 1244196 1053542 657183
27931,769814 800868 2569996 1124313 1966003
28232,1340660 120395 291669 2698338 1835742
28739,2121581 806981 770827 223250 930591
28801,1376234 324207 2573562 960193 187413
28972,106261 1452579 2329357 1085517 1007361
29072,1074013 340121 1407200 1086695 1776696
29146,1900852 1243037 1377249 2192350 447312
29212,617858 612155 767563 2054114 931519
29340,714309 2337857 262871 389056 2168537
29449,712901 557005 2770160 209611 2348573
29519,1162250 343377 2791339 784737 2106311
30094,1541384 1014151 79531 2183022 2712821
30368,755642 279881 2430891 977806 2136038
30774,1510306 1545887 1066987 2512875 2127719
30910,1165605 1695664 2215624 350611 2734883
31318,2277810 1386412 818888 734196 2593483
32111,2041666 1651702 46464 2040529 1385990
32371,147908 282824 1469233 517620 941986
32434,1765833 2618175 830372 1636910 1165605
33119,1933555 2464914 2526089 444114 2175957
33317,2164654 2080213 2040236 1876143 22987
33492,2620827 2650926 811517 2479462 1171271
33552,473708 1259502 397228 1015502 77120
33704,784737 1386412 1244196 1443706 2313894
35125,436637 2491016 2036870 2058516 2764101
35517,2049850 1693312 374376 1770648 2155146
35752,343377 1162250 1386412 2106311 1879708
36049,1918359 1635575 2005941 506948 133813
36125,374376 2803681 1834691 1466334 2705759
36396,2633362 2335481 1246472 500423 1447975
36940,2546303 1689895 2257516 665666 81964
37187,1590528 675243 2376471 1976523 64019
37351,2672855 1261177 600648 2579706 862841
38059,2194493 1600861 1646883 2501141 2128013
38189,1040704 667505 849943 2069813 1953846
38365,2459081 2796479 668146 2680669 1047625
38481,1406238 770454 17132 1676825 2735795
38730,1330328 2705759 2218230 265522 2625619
38944,2398188 461272 985008 1843330 1951358
39189,768859 1870704 2114261 463776 1894524
39773,1098993 994434 2463689 1506892 1139749
39778,542825 2157670 2336274 1563760 1840430
40141,1053542 2310939 79531 1241609 1244196
40180,565050 744459 1563211 1144348 1306320
40246,818187 439558 2069686 1498369 118115
40468,1613050 2108842 1252367 828659 161945
41309,2115825 2444646 1862459 809991 1647849
41345,616631 1733308 1813310 2096809 1340384
41383,302820 1638675 1739253 2051717 2678064
41403,2712481 2603642 1140869 2791339 1241464
41629,988899 778416 2086041 177346 526154
41649,2024094 2648928 1886939 794156 2292722
42051,918665 1225403 2264926 37004 2106404
42321,2058715 738550 582531 1362228 1124070
42617,1025299 258349 789804 1438082 526501
42912,659969 2800967 2609595 1716359 1584839
43088,1417963 1469476 2002097 2679423 194241
43399,2409634 1792590 1306367 1140869 514146
43444,914870 345338 418194 1728036 2588040
44628,1330328 35677 1290492 335428 612412
46074,1071002 960698 416816 665775 502214
46106,2543838 695196 867170 1222449 807098
46377,430533 81564 162125 291669 986950
46391,1254543 940554 1226070 866686 673942
46874,2459081 1244787 1679143 657183 468120
47353,276159 2705558 2590469 2454484 278162
