user_id,recommended_items
285,2348573 2750191 2487208 1244196 2047542
902,2775160 1086695 2795800 479344 2579533
948,2579533 479344 931519 1086695 1244196
1183,1201171 266412 1706622 479344 915508
1286,365608 2775160 1244196 2487208 2348573
1509,365608 2775160 2579533 1550605 931519
1776,2750191 2047542 1550605 2487208 1086695
1982,2775160 2348573 1086695 1201171 266412
2742,479344 2579533 2148901 931519 2348573
3161,2148901 2348573 1717731 2795800 2487208
3256,915508 2487208 1244196 1706622 365608
3375,1201171 2487208 1717731 2579533 266412
3547,1717731 1550605 479344 266412 2795800
3630,1550605 931519 1244196 266412 1086695
3806,479344 1550605 2487208 1244196 2775160
4607,2750191 1550605 1717731 365608 2348573
5112,1895272 931519 2487208 2579533 1550605
5627,2750191 915508 1086695 1706622 931519
5686,1550605 2487208 266412 931519 1895272
5738,2487208 2148901 365608 1086695 1550605
5839,1201171 266412 2795800 365608 2148901
6442,1086695 2750191 931519 2579533 1717731
7182,2775160 1201171 1086695 2795800 1550605
7693,2579533 1717731 1550605 1895272 2047542
8316,1201171 931519 2047542 365608 479344
9660,1086695 915508 365608 2348573 1706622
9680,2775160 2148901 266412 2750191 1706622
10044,2487208 931519 2795800 1086695 2047542
10316,915508 2148901 1895272 266412 1717731
10469,1086695 2775160 1895272 479344 365608
10470,266412 2487208 479344 1706622 1895272
10870,2579533 931519 2487208 1086695 2750191
10956,2750191 1895272 2348573 266412 1244196
11027,915508 2775160 1895272 1550605 479344
11380,365608 2775160 2795800 1244196 266412
11423,931519 1086695 2148901 2348573 2579533
11805,2750191 2775160 365608 2348573 1550605
12046,2348573 915508 1717731 2487208 2795800
12097,2775160 1895272 2750191 2795800 2047542
12233,2487208 1717731 1706622 915508 266412
12593,2487208 1717731 931519 2795800 2775160
12626,1717731 915508 479344 1086695 2775160
12630,1086695 1244196 1550605 1895272 479344
12671,2775160 931519 1244196 1706622 266412
12689,479344 1550605 2795800 365608 2750191
12750,931519 1244196 1895272 2795800 2750191
12852,2775160 1244196 365608 1895272 2750191
13715,1086695 1201171 1717731 2487208 1244196
14269,1244196 2750191 2579533 266412 2148901
14624,365608 2750191 2795800 1244196 266412
14792,266412 1201171 1706622 1244196 1717731
14966,2775160 2348573 2750191 931519 1550605
15006,479344 2047542 2775160 266412 1717731
15100,1717731 931519 1550605 2750191 2795800
15549,1201171 915508 1706622 365608 1895272
15611,2750191 2047542 1706622 1244196 2487208
16228,1201171 1086695 2047542 2750191 915508
16874,2579533 2047542 1895272 1201171 365608
16971,915508 2795800 479344 2348573 365608
18097,2047542 2579533 1706622 2795800 2148901
18564,2487208 2047542 1706622 266412 1086695
18796,1895272 1086695 2148901 1201171 2795800
18994,2795800 1201171 2750191 365608 1244196
19544,1244196 2148901 1717731 2487208 1895272
19679,931519 1086695 915508 266412 1895272
19704,365608 1895272 1244196 1550605 2047542
20101,266412 2795800 1244196 1895272 2348573
20679,2047542 1244196 479344 1895272 2795800
20815,1895272 1201171 266412 2579533 2047542
20979,266412 2047542 1706622 915508 1717731
21195,2579533 931519 2775160 915508 2047542
21324,915508 2579533 1086695 1244196 2487208
21578,1244196 1201171 266412 1706622 365608
21627,2750191 479344 2148901 1550605 1706622
21663,1895272 266412 2579533 1086695 1201171
21813,1706622 2579533 1895272 2750191 1201171
21835,365608 479344 1244196 2795800 1895272
22107,1086695 1717731 2348573 1244196 2487208
22206,266412 479344 365608 2750191 931519
22591,2795800 915508 2579533 365608 1550605
22728,931519 1244196 2579533 1717731 2047542
23229,931519 1717731 365608 2487208 2148901
23361,2750191 266412 1550605 2775160 2348573
23459,915508 2579533 1717731 2750191 2148901
23667,1086695 266412 1201171 365608 2148901
23718,1717731 2579533 365608 915508 1201171
24419,2750191 1717731 2487208 1086695 365608
24465,365608 1895272 2750191 2487208 931519
25906,2750191 1895272 479344 2148901 2775160
26038,2775160 2750191 2795800 479344 365608
26658,2047542 2795800 1550605 2750191 365608
27187,2487208 1895272 1706622 266412 1244196
27501,1550605 2047542 1201171 266412 2487208
27638,365608 1706622 1717731 2148901 915508
27707,2775160 1550605 266412 2487208 2348573
27727,2148901 931519 2487208 1550605 2750191
27845,931519 1201171 1244196 2148901 365608
27931,1550605 915508 1717731 2487208 266412
28232,479344 2047542 365608 2487208 1706622
28739,2487208 479344 2750191 2148901 1201171
28801,1706622 266412 1717731 1244196 1895272
28972,2047542 1706622 1550605 2148901 915508
29072,479344 2348573 266412 1550605 1706622
29146,2775160 2579533 1086695 1201171 2750191
29212,1244196 931519 2775160 2795800 2348573
29340,1706622 2487208 1201171 266412 1244196
29449,2047542 2148901 915508 479344 2487208
29519,915508 266412 2348573 1895272 1244196
30094,1201171 2579533 1550605 1086695 915508
30368,2775160 1717731 2487208 2148901 479344
30774,1550605 1244196 365608 2148901 1086695
30910,931519 266412 1201171 2579533 1717731
31318,1895272 266412 1201171 1244196 2148901
32111,1706622 365608 2750191 1201171 2148901
32371,1201171 2348573 2047542 2579533 479344
32434,1244196 1550605 266412 479344 2148901
33119,1895272 2487208 1244196 2047542 1550605
33317,2579533 1717731 479344 2795800 266412
33492,266412 1895272 1550605 931519 2579533
33552,1244196 2579533 2795800 931519 2775160
33704,2348573 479344 2750191 1086695 2795800
35125,2750191 1550605 365608 1244196 2579533
35517,2750191 1550605 2348573 915508 2579533
35752,1086695 1244196 479344 365608 2795800
36049,1717731 1895272 2348573 479344 266412
36125,1895272 479344 1706622 2579533 2487208
36396,2579533 2348573 2487208 2795800 2750191
36940,2148901 266412 1706622 1201171 2775160
37187,1086695 1895272 2750191 1706622 2487208
37351,915508 2487208 1717731 1244196 2795800
38059,266412 1550605 1706622 2148901 2487208
38189,2750191 1244196 1550605 2047542 1201171
38365,1717731 2750191 266412 2487208 1706622
38481,915508 1201171 2487208 266412 1086695
38730,365608 1086695 2487208 1717731 931519
38944,2750191 2348573 1086695 2775160 1706622
39189,2487208 1717731 2148901 1244196 2750191
39773,1086695 915508 1717731 266412 931519
39778,365608 266412 2047542 1201171 2579533
40141,1895272 1550605 2775160 2579533 2750191
40180,365608 931519 2148901 2348573 915508
40246,266412 479344 1717731 2750191 365608
40468,1550605 2579533 479344 2047542 2795800
41309,479344 365608 931519 1086695 2775160
41345,2148901 2750191 2348573 2487208 1086695
41383,1717731 2047542 1244196 2487208 365608
41403,1895272 2047542 931519 1201171 915508
41629,2487208 1717731 2795800 2348573 266412
41649,1706622 2348573 1201171 2579533 2795800
42051,1706622 2348573 1550605 1201171 479344
42321,1895272 479344 1086695 266412 2348573
42617,1895272 915508 2487208 1244196 2750191
42912,266412 2047542 931519 1086695 479344
43088,1086695 931519 1201171 2487208 1717731
43399,2487208 1086695 479344 931519 2775160
43444,2487208 2148901 2775160 365608 2750191
44628,2148901 915508 479344 1895272 266412
46074,2775160 2795800 2487208 2579533 1717731
46106,2047542 2750191 1706622 2579533 1244196
